Styrsvik
Nämdöböte
Aspö
Idöborg
Östanvik
Kalkberget
Västanvik
Solvik
Orrön
Sand
Bunkvik
Ängsholmen
Uvö
Sunnansund
Mörtö
Mörtö södra
Gatan
Långvik
Västra Skarprunmarn
Hasselkobben
Hasselö
Mjölkkilen
Idholmen
Sandhamn
Harö
Hagede
Koviksudde
Ålstäket (båt)
Bjurön
Losten
Storkrån
Lilla Saxaren
Stora Saxaren
Bernhardsro
Björknäs
Skäggaudd
Lilla Betsö
Stora Isskär
Halleberg
Skärmaräng
Vårholma
Vårlunda
Sippsö
Södra Grinda
Norra Grinda
Viggsö
Norra Svartsö
Karklö
Trångholmen
Alsvik
Hjälmö
Trädgårdarna
Skälvik
Karlshem
Lådna
Träskökvarn
Gistholmen
Söderboudd
Hägerö
Gällnö
Galtholmen
Gällnönäs
Puttisholmen
Ängsholmen
Sollenkrokaö
Arbodaö
Ytterö
Träskö-Gåln
Norra Stavsudda
Södra Träskö
Södra Stavsudda
Korsö
Granholmen
Södermöja
Grenadjärbryggan
Huvudskär
Dragedet
Stora Kalholmen
Söderholm
Korsö
Gruvbryggan
Näsudden
Spränga
Sippvägen
Ängsö
Gränö
Kalvholmen
Jutholmen
Aspö
Segholmen
Dalarö skans
Fåglarö
Björkösund
Nåttarö
Aspö vid Nynäshamn
Norrö
Rånö
Ålö
Kymmendö
Ornöboda
Söderviken
Fiversätraö
Mefjärd
Ornö Kyrka
Fjärdlång
Rosenön
Rögrund
Edesön
Ekholmen
Telegrafholmen
Eknö
Strömkajen
Skeppsbron
Strandvägen
Barnängsbryggan
Lumabryggan
Allmänna gränd
Henriksdals brygga
Skeppsholmen
Masthamnen
Skeppsholmen västra
Fotografiska
Kungsholmstorg
Klara Mälarstrand
Söder Mälarstrand
Lilla Essingen (båt)
Kungshättan (båt)
Jungfrusund (båt)
Granholmen
Edlunda
Furuholmen
Kalvholmen
Risberga
Vasholmen
Höganäs
Höganäs brygga
Stora Ekholmen
Fredriksberg
Kastellet
Rindöbaden
Norra Tynningö
Ljungbergsgården
Östra Tynningö
Norehill
Ramsö
Vegabryggan
Ramsöberg
Knutsholmen
Hästholmen
Skogsö södra
Skogsö udde
Stegesund
Skarpöborg
Edholma
Ytterby brygga
Vikingsborg
Karlsudd
Rindö västra
Storholmen södra
Storholmen östra
Frösvik
Storholmen norra
Åkershov
Orrlunda
Telegrafberget
Själbottna
Brokholmen
Glyxnäs
Bruket
Almvik
Duvnäs
Bergshyddan
Yxlö
Lilla Gräskö
Hemmarö
Söderäng
Högmarsö
Fårgångsö
Furusund
Norröra
Söderöra
Svartlöga
Rödlöga
Gräskö
Marö
Kapellskär
Tjockö ångbåtsbrygga
Lidö
Tyvö
Idö
Granö
Arholma
Roholmen
Gisslingö
Fejan
Tjockö norra
Nationalparken Ängsö
Lågarö
Gräddö
Norrtälje hamn
Östernäs
Enskär
Krokholmen
Krokskär
Landsort
Västerhamn
Österhamn
Smedjegatan
Öregrund
Skinnäsvikens vägskäl
Stenskärs vägskäl
Rudduns vägskäl
Eds vägskäl
Östhammar busstation
Östhammar
Löhammars vägskäl
Hargs kyrka
Harg brukshandel
Västerängens vägskäl
Flyalund
Yxholmen
Kavarövägen
Hummelvägen
Gråboviken
Fästigen
Gästgivaregården
Norrskedika norra
Gruvvägen
Norrskedika idrottsplats
Brudgrind
Motorp
Gammelbyn
Ringvägen (i Östhammar)
Ulrikeberg
Vårdcentrum
Börstils kyrka
Hanneberg
Norrsved
Marka
Stockby vägskäl
Bruksgatan
Kolarmoravägen
Söderharg
Ruddun
Kråkmötet
Moxboda vägskäl
Nybro
Stora Nyborg
Sanda gård
Lervik
Elgö
Mjölkö
Ekholmen
Norra Betsö
Seglarö
Fåglarö
Stora Timrarö
Grundvik
Öran
Skuggan
Väsbystrand
Staveström
Örsö
Storängen
Strömsholm
Edö
Edö ö
Norra Ingmarsö
Finnhamn
Husarö
Brottö
Södra Ingmarsö
Nässlingen
Äpplarö
Ålön
Siaröfortet
Vettersö
Koholmen
Björnhuvud
Gärdsvik
Norra Ekskäret
Björnholmen
Stora Timrarö östra
Särsö
Riset
Tegelön
Boo
Tollare
Tollare torg
Tollaretunneln
Klippudden
Fjäderholmarna
Sticklinge brygga
Gåshaga brygga
Mor Annas brygga
Fjäderholmarna Västra
Tranholmen
Ekudden
Riddarholmen
Stadshusbron
Sergels torg
Frihamnen
Centralen
Vattugatan
Tegelbacken
Kungsgatan / Vasagatan
Vasagatan/Kungsgatan
Blekholmsterrassen
Cityterminalen (på Kungsbron)
Låssa kyrka
Stureplan
Regeringsgatan
Norrlandsgatan
Oxtorgsgatan
Hamngatan
Norrmalmstorg
Kungsträdgården (Hamng/Kungsträdgårdsg)
Kungsgatan / Sveavägen
Sveavägen / Kungsgatan
Jakobsgatan
Gustav Adolfs torg
Karl XII:s torg
Nationalmuseum
Östasiatiska museet
ArkDes/Moderna museet
Kastellholmsbron
Tegnérgatan (på Sveavägen)
Stadsbiblioteket
Odengatan/Sveavägen
Sveavägen/Odengatan
Handelshögskolan
Rådmansgatan (Sveavägen)
Adolf Fredriks kyrka
Döbelnsgatan
Tegnérgatan (på Döbelnsgatan)
David Bagares gata
Snickarbacken
Norra Bantorget
N Bantorget
Wallingatan
Tegnérgatan (på Dalagatan)
Sabbatsbergs sjukhus
Observatoriegatan
Tegnérgatan (Västm.g/Upplandsg)
Hedenströms väg
Hustegaholm parkering
Gävlegatan
Hälsingegatan
Dalagatan
Vasaparken
Sigtunagatan
Karlbergsvägen
Sankt Eriksgatan (Karlbergsv)
S:t Eriksgatan (på Karlbergsv)
Vanadisplan
Rödabergsgatan
Norra station
Norra Stationsg(på Karlbergsv)
N Stationsgatan(på Karlbergsv)
Torsplan
Norrbackagatan
Vikingagatan
Artemisgatan
Sveaplan
Frejgatan (på Sveavägen)
Wenner-Gren center
Ynglingagatan
Norrtullsgatan
Vanadisvägen/Norrtullsgatan
Norrtull
Vanadisvägen
Vanadisvägen/Upplandsgatan
Frejgatan (på Upplandsgatan)
Norra Stationsg(på S:t Eriksg)
N Stationsgatan(på S:t Eriksg)
Stockholm Odenplan
Stockholm City
Stockholm
Stockholm C
Odengatan/Valhallavägen
Valhallavägen/Odengatan
Roslagsgatan
Roslagstull (på Valhallavägen)
Jarlaplan
Engelbrektskyrkan
Runebergsplan
Tegnérgatan (på B Jarlsgatan)
Eriksbergsgatan
Roslagstull (på Ingemarsgatan)
Ruddammen
Surbrunnsgatan
Stickelbärsvägen
Körsbärsvägen
Roslagstull (på Roslagsvägen)
Albano
Frejgatan (på Roslagsgatan)
Universitetsvägen
Djurgårdsbron
Strandvägen
Strandvägen
Fredrikshovsgatan
Historiska museet
Grevgatan
Nybroplan
Sibyllegatan
Styrmansgatan
Karlavägen
Radiohuset
Hakberget
Garnisonen
Banérgatan
Värtavägen
Skeppargatan
Oxenstiernsgatan
Ruddammsparken
Bobergsskolan
Musikhögskolan
Jungfrugatan
Nybrogatan
Stadion (på Valhallavägen)
Stadion (på Sturegatan)
Linnégatan
Humlegården (på Sturegatan)
Humlegården (på Karlavägen)
Grev Turegatan
Rindögatan
Storängsbotten
Tessinparken
Kallskärsgatan
